requirement_id,reference_sequence,reference_text,source_page_start,source_page_end
SC.L2-3.13.1,1,NIST SP 800-171 Rev. 2 3.13.1,219,221
SC.L2-3.13.1,2,FAR Clause 52.204-21 b.1.x,219,221
SC.L2-3.13.2,1,NIST SP 800-171 Rev. 2 3.13.2,222,224
SC.L2-3.13.3,1,NIST SP 800-171 Rev. 2 3.13.3,225,226
SC.L2-3.13.4,1,NIST SP 800-171 Rev. 2 3.13.4,227,228
SC.L2-3.13.5,1,NIST SP 800-171 Rev. 2 3.13.5,229,230
SC.L2-3.13.5,2,"FAR Clause 52.204-21 b.1.xi 196 NIST SP 800-171 Rev. 2, pp. 37-38.",229,230
SC.L2-3.13.6,1,NIST SP 800-171 Rev. 2 3.13.6,231,232
SC.L2-3.13.7,1,NIST SP 800-171 Rev. 2 3.13.7,233,234
SC.L2-3.13.8,1,NIST SP 800-171 Rev. 2 3.13.8,235,236
SC.L2-3.13.9,1,NIST SP 800-171 Rev. 2 3.13.9,237,238
SC.L2-3.13.10,1,NIST SP 800-171 Rev. 2 3.13.10,239,241
SC.L2-3.13.11,1,NIST SP 800-171 Rev. 2 3.13.11,242,243
SC.L2-3.13.12,1,NIST SP 800-171 Rev. 2 3.13.12,244,245
SC.L2-3.13.13,1,NIST SP 800-171 Rev. 2 3.13.13,246,247
SC.L2-3.13.14,1,NIST SP 800-171 Rev. 2 3.13.14,248,249
SC.L2-3.13.15,1,NIST SP 800-171 Rev. 2 3.13.15,250,251
SC.L2-3.13.16,1,NIST SP 800-171 Rev. 2 3.13.16,252,253
SI.L2-3.14.1,1,NIST SP 800-171 Rev. 2 3.14.1,254,256
SI.L2-3.14.1,2,FAR Clause 52.204-21 b.1.xii,254,256
SI.L2-3.14.2,1,NIST SP 800-171 Rev. 2 3.14.2,257,259
SI.L2-3.14.2,2,FAR Clause 52.204-21 b.1.xiii,257,259
SI.L2-3.14.3,1,NIST SP 800-171 Rev. 2 3.14.3,260,261
SI.L2-3.14.4,1,NIST SP 800-171 Rev. 2 3.14.4,262,263
SI.L2-3.14.4,2,FAR Clause 52.204-21 b.1.xiv,262,263
SI.L2-3.14.5,1,NIST SP 800-171 Rev. 2 3.14.5,264,265
SI.L2-3.14.5,2,FAR Clause 52.204-21 b.1.xv,264,265
SI.L2-3.14.6,1,NIST SP 800-171 Rev. 2 3.14.6,266,268
